Последовательность	Назначение

\newline	Если после символа "\" сразу нажать клавишу Enter то это позволит продолжать запись с новой строки.

\\	        Позволяет записать символ обратного слеша.

\'	        Позволяет записать один символ апострофа.

\"	        Позволяет записать один символ кавычки.

\a	        Гудок встроенного в систему динамика.

\b	        Backspace, он же возврат, он же "пробел назад" – удаляет один символ перед курсором.

\f	        Разрыв страницы.

\n	        Перенос строки (новая строка).

\r	        Возврат курсора в начало строки.

\t	        Горизонтальный отступ слева от начала строки (горизонтальная табуляция).

\v	        Вертикальный отступ сверху (вертикальная табуляция).

\xhh	    	Шестнадцатеричный код символа (две шестнадцатеричные цифры hh).

\ooo	    	Восьмеричный код символа (три восьмеричные цифры ooo).

\0	        Символ Null.

\N{id}	    	ID (идентификатор) символа в базе данных Юникода, или, проще говоря, его название в таблице Юникода.

\uhhhh	    	Шестнадцатеричный код 16-битного символа Юникода (символ кодируемый двумя байтами).

\Uhhhhhhhh	Шестнадцатеричный код 32-битного символа Юникода (символ кодируемый четырьмя байтами).

\other	    	Под other понимается любая другая последовательность символов. Не является экранированной 
            	последовательностью (остается без изменений с сохранением в строке символа "\").
